店名,郵便番号,住所,電話番号,備考
アニメイトカフェ池袋2号店,170-0013,東京都豊島区東池袋1-21-13 aune池袋 4F,0359563220,
喫茶ゾウメシ,451-0044,愛知県名古屋市西区菊井1-24-13,,
コメダ珈琲店 本店,467-0022,愛知県名古屋市瑞穂区上山町3-14-8,0528332888,
花の妖精,413-0033,静岡県熱海市熱海1993-65,0557822200,
HELLO KITTY SMILE(ハローキティスマイル),656-1721,兵庫県淡路市野島蟇浦985-1,0799709037,
名曲珈琲新宿らんぶる,160-0022,東京都新宿区新宿3-31-3,0333523361,
ヒルズ カフェ/スペース 六本木ヒルズ店,106-6101,東京都港区六本木6-10-1 六本木ヒルズ ヒルサイド内,0364066833,
はちくまカフェ 池袋店,170-0013,東京都豊島区東池袋3-11-3 ハッケンハセガワビル 1F,0359448924,
喫茶フルール,617-0824,京都府長岡京市天神1-8-2,0759516759,
カフェ スタイル リゾート 嵯峨野湯,616-8366,京都府京都市右京区嵯峨天龍寺今堀町4-3,0758828985,
喫茶ミンカ,247-0062,神奈川県鎌倉市山ノ内377-2,0467500221,
A to Z cafe,107-0062,東京都港区南青山5-8-3  equboビル 5F,0354640281,
ウッドベリーズ マルシェ,180-0004,東京都武蔵野市吉祥寺本町1-20-14,0422271981,
GREEN BROTHERS(グリーン ブラザーズ) 恵比寿店,150-0021,東京都渋谷区恵比寿西1-9-7,0334612541,
Hummingbird Coffee(ハミングバード コーヒー),152-0004,東京都目黒区鷹番2-15-22,0364510455,
クラブハリエ J'oublie le temps(ジュブリルタン),522-0002,滋賀県彦根市松原町1435-83,0749214477,
THREE(スリー) 東京ミッドタウン日比谷店,100-0006,東京都千代田区有楽町1-1-2 TOKYO MIDTOWN HIBIYA内,0362066454,
TOLO COFFEE&BAKERY(トロ コーヒーアンドベーカリー),155-0033,東京都世田谷区代田5-3-1,0357876732,
Factory&Labo(ファクトリー アンド ラボ) 神乃珈琲,152-0001,東京都目黒区中央町1-4-14,0364512823,
DOTORI MACARON(ドットリ マカロン),150-0034,東京都渋谷区代官山町18-6,0368090996,
福菱 Kagerou Cafe(カゲロウカフェ),649-2211,和歌山県西牟婁郡白浜町1279-3,0739423129,代表TEL:0739-42-3128
DIXANS(ディゾン),102-0073,東京都千代田区九段北1-2-12 九段下プラレールビル1F,0362568417,
cafe Planetaria(カフェ プラネタリア),100-0006,東京都千代田区有楽町2-5-1 有楽町マリオン 9F,0362699952,
Banh mi Tokyo(バイン ミー トーキョー),150-0001,東京都渋谷区神宮前3-1-25 1F,07041420868,
BE:SIDE(ビーサイド),150-0001,東京都渋谷区神宮前3-14-6,0364329323,[TREATMENT:SIDE電話番号]070-1514-0582
MuunSeoul(ムーンソウル),150-0001,東京都渋谷区神宮前3-29-7 T's6ビル,0368129499,
雪ノ下銀座,104-0061,東京都中央区銀座1-6-17,0362632394,
CAFE BINGGO(カフェ ビンゴ),169-0073,東京都 新宿区 百人町2-2-3 TRN新大久保ビル 2F・3F,0363803892,
ザリガニカフェ,150-0042,東京都渋谷区宇田川町6-11 1F C号室,0354590655,
浮島ガーデン,900-0014,沖縄県那覇市松尾2-12-3,0989432100,
茶洒 金田中,107-0061,東京都港区北青山3-6-1 oak omotesando 2F,0364505116,
象の鼻カフェ,231-0002,神奈川県横浜市中区海岸通1 象の鼻テラス内,0456805677,
THE ROASTERY BY NOZY COFFEE(ザ ロースタリー バイ ノージー コーヒー),150-0001,東京都渋谷区神宮前5-17-13,0364505755,
フレベール ラデュ,470-2403,愛知県知多郡美浜町大字北方字立戸14-5,0569823568,
五十鈴川カフェ,516-0025,三重県伊勢市宇治中之切町12,0596239002,
ラ ブティック ドゥ ジョエル・ロブション 丸の内ブリックスクエア店,100-0005,東京都千代田区丸の内2-6-1 丸の内ブリックスクエア1F,0332172877,
うめぞの CAFE & GALLERY(カフェ アンド ギャラリー),604-8215,京都府京都市中京区不動町180,0752410577,
cafe(カフェ) 火裏蓮花,604-8101,京都府京都市中京区柳八播町74-4,0752134485,
OLIVAZ(オリヴァス),761-4434,香川県小豆郡小豆島町西村甲1941-1,0879822200,
トシ・ヨロイヅカ 東京,104-0031,東京都中央区京橋2-2-1 京橋エドグラン1F,0362626510,
モンブラン,152-0035,東京都目黒区自由が丘1-25-13,0337231181,
D&DEPARTMENT KYOTO(ディアンドデパートメント キョウト),600-8084,京都府京都市下京区高倉通仏光寺下ル新開町397 本山佛光寺内,0753433217,
Natural Cafeina(ナチュラル カフェイーナ),389-0104,長野県北佐久郡軽井沢町軽井沢東25,0267423562,
グルテンフリーカフェ・タマクーヘン,158-0094,東京都世田谷区玉川3-20-1 名川ビル1F,0368057443,
茂庵,606-8311,京都府京都市左京区吉田神楽岡町8,0757612100,予約優先制
コム・シノワ ブランジェリー・パティスリー・カフェ,651-0087,兵庫県神戸市中央区御幸通7-1-15 三宮ビル南館B1,0782421506,
幻想の国のアリス,530-0012,大阪府大阪市北区芝田1-8-1 D.D.HOUSE 1F,0663721860,
リゾットカフェ 東京基地 渋谷,150-0042,東京都渋谷区宇田川町28-1 高山ランドビル7F,0337708960,
アフタヌーンティー・ラブアンドテーブル  表参道,150-0001,東京都渋谷区神宮前4-3-2,0364471411,
Galettoria (ガレットリア),150-0046,東京都渋谷区松濤1-26-1,0334677057,
ホットケーキパーラー Fru-Full (フルフル) 赤坂店,107-0052,東京都港区赤坂2-17-52 パラッツオ赤坂 1F,0335832425,
tenku terrace OOLOO(オールー),901-1407,沖縄県南城市つきしろ1663,0989439058,
ロイヤルガーデンカフェ青山,107-0061,東京都港区北青山2-1-19,0354146170,
FLIPPER'S 自由が丘店,152-0035,東京都目黒区自由が丘1-8-7 3F,0357311185,
フリーマンカフェ 渋谷メトロプラザ,150-0002,東京都渋谷区渋谷1-16-14 メトロプラザ2F,0357669111,
ジンナンカフェ 渋谷,150-0041,東京都渋谷区神南1-17-5 クーラビル1F・B1F,0357283786,
辻利兵衛本店 京都宇治本店,611-0021,京都府宇治市宇治若森41,0774299021,
CHABAKKA TEA PARKS鎌倉店,248-0012,神奈川県鎌倉市御成町11-10,0467847598,
パーラーシシド,156-0043,東京都世田谷区松原3丁目29-18,0333254410,
wellk(ウェルク),153-0062,東京都目黒区三田2-5-11  吉田ビル2F,0363032411,
かもめブックス,162-0805,東京都新宿区矢来町123 第一矢来ビル1階,0352285490,
スターバックスコーヒー JR東海 東京駅新幹線南ラチ内店,100-0005,東京都千代田区丸の内1-9-1東京駅構内南部高架下JRCP東京支店,0352938175,
Cafe Mame-Hico(カフェ マメヒコ) 公園通り店,150-0041,東京都渋谷区神南1-20-11 造園会館 2F,0364551475,
喫茶 宝石箱,157-0062,東京都世田谷区南烏山4-18-18 小山マンション102,0359698577,
WOODBERRY COFFEE(ウッドベリー コーヒー) 代官山店,150-0022,東京都渋谷区恵比寿南3-7-1,0364510446,
SIDEWALK COFFEE STAND(サイドウォーク コーヒー スタンド),153-0042,東京都目黒区青葉台1-23-14,0367122590,
VERVE COFFEE ROASTERS(ヴァーヴコーヒー ロースターズ) 雪ノ下店,248-0005,神奈川県鎌倉市雪ノ下1-10-8,0467848851,
spectacle KITAHAMA(スペクタクル キタハマ),541-0041,大阪府大阪市中央区北浜1-2-2,,
千疋屋総本店フルーツパーラー 日本橋本店,103-0022,東京都中央区日本橋室町2-1-2 日本橋三井タワー2F,0332411630,
seoul cafe(ソウル カフェ),169-0072,東京都新宿区大久保1-16-30 巨山ビル2F,0362059772,
パフェ、珈琲、酒、佐藤,060-0061,北海道札幌市中央区南1条西2-1-2 木NINARUビル 2F・3F,0112333007,
DAY & NIGHT(デイ アンド ナイト),150-0013,東京都渋谷区恵比寿2-39-5,0354226645,
EBISU FOOD HALL(エビス フード ホール),150-0022,東京都渋谷区恵比寿南1-1-9 岩徳ビル 1F,0357735959,
Let It Be Coffee(レット イット ビー コーヒー),158-0094,東京都世田谷区玉川3-23-25 ビーンズ二子玉川102,,
forucafe(フォルカフェ) 原宿店,150-0001,東京都渋谷区神宮前 6-12-18 WeWorkアイスバーグ 1F,08096462341,
スターバックス コーヒー 鹿児島仙巌園店,892-0871,鹿児島県鹿児島市吉野町9688-1,0992486551,
とっとり山の手物語 大榎庵,680-0043,鳥取県鳥取市大榎町3-3,0857326030,
喫茶サンシャイン,530-0057,大阪府大阪市北区曾根崎2-11-8 B2,0663136797,
ネスカフェ 睡眠カフェ in(イン) 原宿,140-0014,東京都渋谷区神宮前1-22-8 ネスカフェ 原宿店内,,
Coffee&toast(コーヒー アンド トースト)三軒茶屋店,154-0024,東京都世田谷区三軒茶屋1-5-16,,
パーラーキムラヤ,105-0004,東京都港区新橋2-20-15,0335732156,
1 ROOM COFFEE(ワンルーム コーヒー),173-0016,東京都板橋区中板橋30-1,,
京都祇園茶寮,605-0074,京都府京都市東山区祗園町南側506,0757466728,
neel(ニール),150-0001,東京都渋谷区神宮前2-19-2,0368859157,
OGAWA COFFEE LABORATORY 下北沢,155-0031,東京都世田谷区北沢3-19-20 reload1-1,0364070194,
たまご専門店 TAMAGOYA(タマゴヤ) ベーカリーカフェ,419-0104,静岡県田方郡函南町畑374-63,0559744422,
水信フルーツパーラー,231-0003,神奈川県横浜市中区北仲通5-57-2 KITANAKA BRICK&WHITE 1F,0456629295,
スターバックス コーヒー 代官山 蔦屋書店,150-0033,東京都渋谷区猿楽町17-5 蔦屋書店3号館1F,0337706363,
仏蘭西屋,104-0061,東京都中央区銀座3-7-16 銀座NSビル B1F,0335640462,
MIYASHITACAFE,150-0001,東京都渋谷区神宮前6丁目20,0367125650,
スターバックスコーヒー 神楽坂下店,162-0825,東京都新宿区神楽坂1-9-2秀永ビル,0352277671,
TORAYA TOKYO,100-0005,東京都千代田区丸の内1-9-1 東京ステーションホテル 2F,0352202345,※時季によりメニュー等の内容が変わります。※状況により、席数やメニューを縮小して営業を行なう場合がございます。
鎌倉ニュージャーマン・鎌倉本店,248-0006,神奈川県鎌倉市小町1-5-2,0467233851,
スターバックスコーヒー 北参道店,151-0051,東京都渋谷区千駄ケ谷3-39-9IBF-PLANNINGビル,0354143941,
TOWER RECORDS CAFE 表参道店,150-0001,東京都渋谷区神宮前6-3-9 井門原宿ビル2F,0357789491,
ウサギノネドコ京都店,604-8432,京都府京都市中京区西ノ京南原町37,0753666668,
SCOPP CAFE(スコップ カフェ),160-0022,東京都新宿区新宿2-5-11 甲州屋ビルB1F,0362732767,※ご要望に応じて、通常のフードメニューからお肉や魚を除いてご提供することは可能です。
ツル茶ん,850-0832,長崎県長崎市油屋町2-47,0958242679,※英語、中国語、韓国語の店舗パンフレットあり
THE LOBBY LOUNGE(ザ・ロビーラウンジ),100-0005,東京都千代田区丸の内1-8-3 丸の内トラストタワー本館 シャングリ・ラ 東京28F,0367397877,
猿田彦珈琲 恵比寿本店,150-0013,東京都渋谷区恵比寿1-6-6 斎藤ビル1F,0354226970,
七つ森,166-0003,東京都杉並区高円寺南2-20-20,0333181393,
BIEN-ETRE MAISON,151-0064,東京都渋谷区上原1-17-11 3F,0357388827,
スターバックス コーヒー 皇居外苑 和田倉噴水公園店,100-0002,東京都千代田区皇居外苑3-1,0362734844,
宮島珈琲,739-0588,広島県廿日市市宮島町464-3,0829440056,
丸山珈琲 ハルニレテラス店,389-0111,長野県北佐久郡軽井沢町 星野ハルニレテラス内,0267310553,
Vita Smoothies(ビタスムージーズ),900-0013,沖縄県那覇市牧志2-17-17 まきしビル1F,0988633929,
くるみの木,630-8113,奈良県奈良市法蓮町567-1,0742238286,※電話番号はカフェに繋がります。
喫茶アマゾン,605-0992,京都府京都市東山区鞘町通七条上る下堀詰町235,0755618875,
サロン・ド・テ ロザージュ,250-0522,神奈川県足柄下郡箱根町元箱根80,0460836321,※電話番号は小田急 山のホテルへ繋がります。
ZEN CAFE(ゼン カフェ),605-0074,京都府京都市東山区祇園町南側570-210,0755338686,上生菓子は季節によって内容が変わります。※写真はイメージです。
パティスリーモンプリュ,650-0024,兵庫県神戸市中央区海岸通3-1-17,0783211048,
コーヒーの大学院 ルミエール・ド・パリ,231-0012,神奈川県横浜市中区相生町1-18,0456417750,
コーヒーハウス ザ・カフェ,231-0023,神奈川県横浜市中区山下町10 ホテルニューグランド本館1F,0456811841,※電話番号は代表番号に繋がります。
Maison・YWE(メゾン イー),460-0008,愛知県名古屋市中区栄3-23-9 2F,0526847486,
The Original Pancake House(ザ オリジナル パンケーキ ハウス) ルミネエスト新宿店,160-0022,東京都新宿区新宿3-38-1 ルミネエスト7F,0364578768,
森彦,060-0062,北海道札幌市中央区南2条西26-2-18,08001114883,
iL-CHIANTI CAFE(イルキャンティ カフェ) 江の島,251-0036,神奈川県藤沢市江の島2-4-15,0466867758,
F&P Smoothie Cafe(エフアンドピー スムージー カフェ) 青山店,150-0001,東京都渋谷区神宮前5-52-2 青山オーバルビル1F,0368050480,
HIGUMA Doughnuts×Coffee Wrights(ヒグマ ドーナツ コーヒー ライツ) 表参道店,150-0001,東京都渋谷区神宮前4-9-13 ミナガワビレッジ #5,0368043163,
Double Doors(ダブル ドアーズ),248-0025,神奈川県鎌倉市七里ケ浜東2-2-2,0467331593,
嵐山 のむら,616-8384,京都府京都市右京区嵯峨天龍寺造路町35-20,0758811651,
元町サントス,650-0022,兵庫県神戸市中央区元町通2-3-12,0783311079,
スイーツパラダイス 池袋店,170-0013,東京都豊島区東池袋1-1-2 池袋高村ビル5F,0369143902,
BONDI CAFE,106-0047,東京都港区南麻布5-15-9 バルビゾン70 1F,0354229449,
食の郵便局 TAYORI,110-0001,東京都台東区谷中3丁目12-4,0358347026,
THE LOBBY LOUNGE(ザ ロビー ラウンジ),530-0001,大阪府大阪市北区梅田2-5-25 ザ・リッツ・カールトン大阪,0663437020,
サロンドロワイヤル京都店,604-0923,京都府京都市中京区木屋町通り御池上ル上樵木町502,0752114121,
新橋ベーカリーニューブリッジ,105-0014,東京都港区芝2-5-15,0334545208,
金の百合亭,605-0073,京都府京都市東山区祇園町北側292-2 2階,0755315922,
Cat Cafe てまりのおうち,180-0004,東京都武蔵野市吉祥寺本町2-13-14 3F,0422235503,
パンとエスプレッソと京と,604-0095,京都府京都市中京区指物屋町371,0757462995,
MAJA CAFE TUPA マヤカフェトゥパ,604-8112,京都府京都市中京区柳馬場通六角上ル槌屋町92,0752055476,
くらしき桃子 総本店,710-0046,岡山県倉敷市中央1-3-18,0864546611,
.AND READY,810-0022,福岡県福岡市中央区薬院1丁目12-30 BAZZHAUS 1F,0929823930,
Whisk,105-0022,東京都港区海岸1-10-30,0357771112,
NASU SHOZO CAFE(ナス ショウゾウ カフェ),325-0303,栃木県那須郡那須町高久乙2730-25,,
神保町 ラドリオ,101-0051,東京都千代田区神田神保町1-3,0332954788,
APPLE PIE&COFFEE GRANNY SMITH AOYAMA(アップル パイ アンド コーヒー グラニー スミス アオヤマ),107-0062,東京都港区南青山5-8-9,0334865581,
まめ茶和ん,102-0071,東京都千代田区富士見2-7-2,,
ニット,130-0022,東京都墨田区江東橋4-26-12,0336313884,
MeetFresh(ミートフレッシュ)鮮芋仙 赤羽本店,115-0045,東京都北区赤羽2-21-2 SD.Building 1F,0359399500,
タリーズコーヒー 大手町パークビルディング店,100-0004,東京都千代田区 大手町1丁目1番1号 大手町パークビルディングB1F,0362063095,
タリーズコーヒー 住友不動産東京三田ガーデンタワー店,108-0073,東京都港区 三田3-5-19,0362751321,
nicolas,154-0004,東京都世田谷区太子堂4-28-10 鈴木ビル2F,0368040425,
La vie a la campagne,153-0051,東京都目黒区上目黒2-24-12,0364127350,
BERTH COFFEE,103-0011,東京都中央区日本橋大伝馬町15-2,0366617559,
RUTTEN_ (ルッテン_ ),110-0005,東京都台東区上野5-5-10 1F,0362842675,
フェブラリーキッチン (FEBRUARY KITCHEN),111-0032,東京都台東区浅草2-29-6,0358111535,
UNDER THE PALMO HAYAMA,240-0112,神奈川県三浦郡葉山町堀内340,0468747429,
アルマーニ/カフェ,107-0061,東京都港区北青山3-6-1 オーク表参道 1F,0357781637,
