店名,郵便番号,住所,電話番号,備考
大正浪漫喫茶室,036-8207,青森県弘前市上白銀町8-1,0172375690,
Theater Zzz(シアターズィー),130-0011,東京都墨田区石原1-18-7,0344053894,
茶亭 羽當,150-0002,東京都渋谷区渋谷1-15-19 東口二葉ビル 1F,0334009088,
ペニーレイン 那須店,325-0301,栃木県那須郡那須町湯本656-2,0287761960,
ATELIER KOHTA(アトリエ コータ) 神楽坂店,162-0825,東京都新宿区神楽坂6-25,0352274037,
喫茶ツヅキ,453-0811,愛知県名古屋市中村区太閤通6-1 ツヅキビル2F,0524820001,
しょうゆ きゃふぇ 元町,231-0861,神奈川県横浜市中区元町1-30 藤田ビル2F,0452258654,
% ARABICA Kyoto Higashiyama(アラビカ キョウト ヒガシヤマ),605-0853,京都府京都市東山区星野町87-5,0757463669,
ギャラン,110-0005,東京都台東区上野6-14-4,0338362756,
樹ガーデン,248-0022,神奈川県鎌倉市常盤917,0467314869,
PARLOR 8ablish(パーラーエイタブリッシュ),107-0062,東京都港区南青山5-10-17 2F,0368050597,
cafe recette(カフェ ルセット) 鎌倉,248-0021,神奈川県鎌倉市坂ノ下22-5,0467385700,
Parlor Vinefru(パーラー ビネフル) 銀座,104-0061,東京都中央区銀座1-20-10 GYBトマトハウス 3F,0362287100,
名曲喫茶ライオン,150-0043,東京都渋谷区道玄坂2丁目19-13,0334616858,
Little Pool Coffee(リトル プール コーヒー),107-0062,東京都港区南青山3-8-26 パートナーズ表参道 1F,,
アニメイトカフェ池袋3号店,170-0013,東京都豊島区東池袋1-20-6 プラザイン池袋3F,0359570880,※2023年9月1日時点の情報です。内容は変更となる場合があります。詳細はアニメイトカフェのホームページをご覧下さい。
無碍山房 Salon de Muge(サロン ド ムゲ),605-0072,京都府京都市東山区鷲尾町524,0757446260,[問い合わせ]075-744-6260[予約]075-561-0015
珈琲 天国,111-0032,東京都台東区浅草1-41-9,0358280591,
くらしき桃子 倉敷本店,710-0054,岡山県倉敷市本町4-1(倉敷珈琲館 右隣),0864270007,
