店名,郵便番号,住所,電話番号,備考
1988 CAFE SHOZO(カフェ ショウゾウ),325-0045,栃木県那須塩原市高砂町6-6,0287639833,
コクリコ・クレープ店,248-0005,神奈川県鎌倉市雪ノ下1丁目6-4,0467227286,
トルクーヘン,536-0014,大阪府大阪市城東区鴫野西1-14-4,0671720443,
SLOPE(スロープ),167-0023,東京都杉並区上井草2-35-2,07064606626,
鹿児島県歴史・美術センター黎明館,892-0853,鹿児島県鹿児島市城山町7-2,0992225100,
執事喫茶 Swallowtail(スワロウテイル),170-0013,東京都豊島区東池袋3-12-12 正和ビルB1F,,予約はメールのみ
スターバックスコーヒー JR東海 品川駅店,108-0075,東京都港区港南2-1-78JRCP品川営業所,0357153235,
COBI COFFEE AOYAMA(コビ コーヒー アオヤマ),107-0062,東京都港区南青山5-10-5 第一九曜ビル 101,0364273976,
キノーズ・マンハッタン・ニューヨーク,112-0002,東京都文京区小石川4-21-2,0362315527,
保護猫カフェNECO REPUBLIC(ネコ リパブリック) 東京お茶の水店,113-0034,東京都文京区湯島3-1-9 CRANEビル 4F,0358268920,
CAFE KESHiPEPEARL(カフェ ケシパール),651-0087,兵庫県神戸市中央区御幸通6-1-25 もものき三宮ビル2F北,0782031396,
1er ETAGE(プルミエ エタージュ),604-8066,京都府京都市中京区御幸町通六角下る伊勢屋町342,05011149498,
PADDLERS COFFEE(パドラーズコーヒー),151-0066,東京都渋谷区西原2-26-5,,
CAFE&BAKERY MIYABI(カフェ アンド ベーカリー ミヤビ) 神保町店,101-0065,東京都千代田区西神田2-1-13,0352126286,
宇治紅茶館 ICHIMATSU COOKIE(イチマツ クッキー),611-0021,京都府宇治市宇治妙楽46-2,0774253711,
カヌレ,604-0911,京都府京都市中京区河原町二条上ル清水町362 JOYビル 5F,0757562041,
月光,110-0003,東京都台東区根岸3-7-18エルアルカサル鶯谷1F,0358494569,
春水堂(チュンスイタン) グランフロント大阪店,530-0011,大阪府大阪市北区大深町4-1 グランフロント大阪うめきた広場内,0661318520,
YUGEN(ユウゲン),604-0865,京都府京都市中京区亀屋町146,0757087770,
すすむ屋茶店 東京自由が丘,152-0035,東京都目黒区自由が丘1-25-5,0362414142,
MATSUNOSUKE(マツノスケ) NY,150-0033,東京都渋谷区猿楽町29-9 ヒルサイドテラスD-11 松之助N.Y.内,0357283868,
紅茶専門店TEAPOND(ティーポンド) 清澄白河店,135-0021,東京都江東区白河1-1-11,0336423337,
&sandwich.(アンドサンドイッチ),160-0022,東京都新宿区新宿1-5-7 スキラ御苑1F,0367099455,
Tinys Yokohama Hinodecho(タイニー ヨコハマ ヒノデチョウ),231-0066,神奈川県横浜市中区日ノ出町2-166,05058816598,
Dear All(ディアオール),151-0073,東京都渋谷区笹塚1-59-5,,
MARUFUJI CAFE(マルフジ カフェ)天王寺北口店,543-0055,大阪府大阪大阪市天王寺区悲田院町8-11,0667730822,
BORTON(ボートン)菓子店,186-0005,東京都国立市西2-9-74,,
cafe&wine Mamma Mia LABORATORY(カフェアンドワイン マンマミーア ラボラトリー) なんてこった研究所,460-0008,愛知県名古屋市中区栄3-14-30,,
ブルーボトルコーヒー 三軒茶屋カフェ,154-0024,東京都世田谷区三軒茶屋1-33-18,,
うのまち珈琲店 奈良店,634-0812,奈良県橿原市今井町4-3-6,0744416645,
みっふぃー桜きっちん,616-8384,京都府京都市右京区嵯峨天龍寺造路町20-27,0758632022,[桜きっちん]075-863-2022[桜べーかりー]075-496-4244
イニシャル,060-0063,北海道札幌市中央区南3条西5-36-1 F.DRESS五番街ビル 2F,0112110490,
L'atelier a ma facon(ラトリエ ア マ ファソン),158-0093,東京都世田谷区上野毛1-26-14,,
東京和茶房,153-0041,東京都目黒区駒場4-6-2 Y-5 YAMAGATAYA 1F,0364070622,
FUGLEN ASAKUSA(フグレン アサクサ),111-0032,東京都台東区浅草2-6-15,0358111756,
tubara cafe(ツバラ カフェ),602-8434,京都府京都市上京区西船橋町340-1,0754110118,
Chou de ruban(シュー ドゥ リュバン),153-0051,東京都目黒区上目黒2-43-6 LINKY1-1F,0368861167,
オイモカフェ善福寺,167-0041,東京都杉並区善福寺2-24-8,0364547272,
ニューラフレア,650-0037,兵庫県神戸市中央区明石町18-2 大協ビル,0783330808,
漬×麹 Haccomachi(ハッコマチ),604-8121,京都府京都市中京区三条通柳馬場下ル桝屋町78-1,0752568883,
OPEN NAKAMEGURO(オープン 中目黒),153-0051,東京都目黒区上目黒2-9-17,05017051841,
ロンハーマン カフェ 玉川高島屋S・C店,158-0094,東京都世田谷区玉川4-1-25 玉川高島屋S・C内アイビーズプレイス3F,0367572068,
RALPH'S COFFEE TOKYO SHIBUYA(ラルフズ コーヒー トウキョー シブヤ),150-0001,東京都渋谷区神宮前4-25-15,0364385803,
Re:s cafebar&sweets リスカフェ,169-0072,東京都新宿区大久保3-9-5 都営西大久保アパート5号棟,0364576515,
breadworks(ブレッドワークス) 天王洲,140-0002,東京都品川区東品川2-1-6,0354793666,
青木松風庵 月化粧ファクトリー,599-0203,大阪府阪南市黒田453-15,0724702525,
J-COOK(ジェイクック),150-0001,東京都渋谷区神宮前3-36-26,0334020657,
タリーズコーヒー 日比谷フォートタワー店,105-0003,東京都港区 西新橋1丁目1番1号,0335003443,
sahan(サハン),248-0012,神奈川県鎌倉市御成町13-38 萩原ビル 2F,0467246182,
PRONTO 千葉そごう前店,260-0028,千葉県千葉市中央区新町1000 千葉そごう京成千葉駅構内,0432457713,クレジットカード交通系電子マネープロントマネー楽天ポイントdポイントiD楽天EdyQUICPayPayPayau PAYd払い楽天ペイメルペイAlipayWeChat Pay
ソビノワ,550-0003,大阪府大阪市西区京町堀1-17-7 1F,09093397538,
adito(アヂト),154-0012,東京都世田谷区駒沢5-16-1,0337038181,
BEAR POND ESPRESSO(ベアー ポンド エスプレッソ),155-0031,東京都世田谷区北沢2-36-12,0354542486,
カフェ レ ジュ グルニエ,107-0062,東京都港区南青山5-9-5,0334996297,
TIES(タイズ),113-0034,東京都文京区湯島4-1-13,0338180393,
愛犬の駅,413-0232,静岡県伊東市八幡野1135-1,0120759015,
TORAYA GINZA,104-0061,東京都中央区銀座7-8-17 虎屋銀座ビル4階,0362645200,
ufotable cafe Tokyo(ユーフォーテーブルカフェ東京),165-0027,東京都中野区野方1-38-11 永田ビル1F,0333880335,
千疋屋総本店 日本橋本店フルーツパーラー&レストラン,103-0022,東京都中央区日本橋室町2-1-2  日本橋三井タワー2階,0332411630,
スターバックスコーヒー 淡路サービスエリア(下り線)店,656-2401,兵庫県淡路市岩屋2568淡路サービスエリア(下り線),0799732051,
スターバックスコーヒー 二子玉川 蔦屋家電店,158-0094,東京都世田谷区玉川1-14-1二子玉川ライズS.C.テラスマーケット,0354918544,
まめカフェ,278-0037,千葉県野田市野田110 キッコーマン食品野田工場ものしりしょうゆ館,0471235136,
PERLS,545-0052,大阪府大阪市阿倍野区阿倍野筋1-3-21 岸本ビル1F,0666244549,
モンマスティー 千駄ヶ谷店,151-0051,東京都渋谷区千駄ヶ谷1-21-2,0334782357,
ミュージアムカフェ,799-1607,愛媛県今治市朝倉上甲2930 タオル美術館ICHIHIRO内,0898561515,
カプコンカフェ 池袋店,170-0013,東京都豊島区東池袋1-30-3 キュープラザ池袋3F,0359049106,
スターバックス コーヒー 上野恩賜公園店,110-0007,東京都台東区上野公園8-22,0358341630,
スターバックス コーヒー 中目黒 蔦屋書店,153-0051,東京都目黒区上目黒1-22-10,0363034095,
スターバックス コーヒー 六本木 蔦屋書店,106-0032,東京都港区六本木6-11-1ゲートタワー,0354112667,
HORIGUCHI COFFEE 世田谷店,156-0055,東京都世田谷区船橋1-12-15,0354774142,
純喫茶 翡翠,603-8165,京都府京都市北区紫野西御所田町41-2,0754911021,
天然酵母パン トゥルナージュ 神宮前店,150-0001,東京都渋谷区神宮前2-15-15,0354741083,
miel mie honey cafe,604-8083,京都府京都市中京区三条通富小路西入中之町21,0752216639,
Bonjourmojo2,113-0031,東京都文京区根津2-33-2 七弥ハウス101,0358348278,
WORLD NEIGHBORS CAFE 清澄白河,135-0023,東京都江東区平野4-13-1,0364588853,
MIYAKODA駅cafe,431-2102,静岡県浜松市浜名区都田町5563-21,0534288088,
タリーズコーヒー 住友不動産虎ノ門タワー店,105-0001,東京都港区 虎ノ門2-2-1 住友不動産虎ノ門タワー1F,0335601221,
カトレア,135-0004,東京都江東区森下1-6-11,0336351464,
buik,107-0062,東京都港区南青山4-26-12 1F,0368050227,
喫茶ニワトリ,901-2134,沖縄県浦添市港川2-16-1,0988776189,
NO COFFEE,810-0014,福岡県福岡市中央区平尾3-17-12,0927914515,
島cafeとぅんからや,906-0202,沖縄県宮古島市上野字新里1214,0980762674,
CHOP COFFEE OMOTESANDO,150-0001,東京都渋谷区神宮前5-44-12,0364275335,
パン デ フィロゾフ,162-0813,東京都新宿区東五軒町1-8,0368745808,
meals,151-0063,東京都渋谷区富ヶ谷1-17-5,0354651772,
LOG,722-0033,広島県尾道市東土堂町11-12,0848246669,
MUJI HOTEL GINZA ベーカリー,104-0061,東京都中央区銀座3-3-5 1F,0335386101,
喫茶 ニカイ,110-0001,東京都台東区谷中6-3-8 2F,0358342922,
板橋 ライブ&カフェ ファイト!,173-0004,東京都板橋区板橋1-22-7,09012011449,
